segment,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
ħ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,+,0,0,0,-,-,-,-,-,-,-,-
ʈʂ,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,-,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
bʷ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
b̤,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
˩,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cʰ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,+,-,-,-,-,-
˥˩,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bː,0,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ø,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,+,-,+,-,-,+,-,-,-,0,-,-,0
ndz,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
sː,0,-,-,-,+,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ẽ̞,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,-,+,-,+,-,-,+,-,-,-,0,-,-,0
ʝ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
ɑː,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,+,0,-,-,+,-,-,-,0,-,-,0
ʉ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,-,+,-,-,+,-,-,-,0,-,-,0
